Scenario,RowID,Regime0,RegimeNew,Temperature,Salinity0,Salinity,SeaIce0,SeaIce,WindSpeed,Hg0_water,DGM_obs,HgII_water,Hg0_air,GEM_obs,MLD,Dw,P_sink,AS,Net,Diff_Hg0,Current_Hg0,fr_Hg0,Diff_HgII,Current_HgII,fr_HgII,Red_UVB,Red_UVA,Red_Bio,Ox_UVB,Ox_UVA,Ox_Dark,Ox_Bio,a_443,NSE_num,NSE_den,PBIAS_num,PBIAS_den
SalinityOnly,31,ice,ice,-0.692,30.447,29.347,0.8261,0.8261,1.922,0.163729754950276,0.159,0.751591612420109,1.0698299816251,1.153,12.6374939,6.19152009444959e-07,0.147221753369748,0.00561249158672698,0.0103193943078241,0.000459651400711036,0.00627844208237402,0.0034606055166356,0.000525467611139769,0.137108400601485,0.0681282549847215,1.718997240461e-05,0.000394241127601625,0.000193531577999656,0.000174431024193615,0.00268606725646478,0.00036,0.000315051406045952,0.12101937432721,2.23705818896616e-05,0.0014776336,-0.472975495027614,0.159
SalinityOnly,32,ice,ice,-0.639,30.121,29.021,0.7247,0.7247,3.424,0.134860174907894,0.162,0.717085811315578,1.07857240754803,1.155,11.4855077,3.6488182528673e-06,0.140462757585217,0.0218362155492025,0.020824523659896,0.0032912717621793,0.00564273677775319,0.00333317818569477,0.00371959889236073,0.123225890190959,0.0656196183739818,2.58111783537914e-05,0.00059564557728378,0.000223687898072895,0.000272022025293652,0.00433694071123529,0.00036,0.000364143089886107,0.123940327549139,0.000736570106030093,0.0017172736,2.71398250921057,0.162
SalinityOnly,33,ice,ice,-0.619,30.007,28.907,0.7524,0.7524,4.146,0.125395782480758,0.17,0.702877631805764,1.08099784932967,1.141,11.0826659,6.25513048013458e-06,0.137679659603466,0.0260434305741058,0.0215040847671644,0.00596951841576322,0.00542343556643383,0.00327971662515322,0.00681615155765263,0.118436797938539,0.0645671312265891,2.28722058278011e-05,0.000533816657158352,0.00019747494730394,0.000244716702495437,0.00400500803578094,0.00036,0.000321470844448274,0.124959685065368,0.00198953622050382,0.0024443136,4.46042175192416,0.17
SalinityOnly,34,ice,ice,-0.624,29.948,28.848,0.7841,0.7841,6.587,0.119711707248381,0.175,0.719134795337961,1.09629769736022,1.139,10.8741776,2.42848277671461e-05,0.140864112543703,0.0533354716337477,0.0303453236573807,0.0239391856990348,0.00531054816858887,0.00325023665178173,0.0245097389440369,0.115971566856765,0.0639867648331526,1.97867016248974e-05,0.000466190805005381,0.000175113075967321,0.000213435672462309,0.00355764426647855,0.00036,0.000285067798086337,0.125486812911433,0.00305679531538874,0.0029637136,5.52882927516191,0.175
SalinityOnly,35,ice,ice,-0.474,29.88,28.78,0.886,0.886,6.972,0.125830142932888,0.149,0.744760982535824,1.08596922566029,1.136,10.633886,2.60371502909896e-05,0.145883769694084,0.0342626184444232,0.0108781687329893,0.0247857513443762,0.00518095727720545,0.00321472724226109,0.0229773180137519,0.113141565461995,0.0632876981251591,1.15187421755606e-05,0.00027170052296929,0.000111476389500367,0.000125454970394018,0.00211725926435598,0.00036,0.000181473192209901,0.12609397785999,0.000536842276510379,0.0008088336,2.31698570671116,0.149
SalinityOnly,36,ice,ice,-0.462,29.772,28.672,0.8792,0.8792,6.844,0.119955384026513,0.156,0.737433628035046,1.08509605480229,1.13,10.2522464,2.47091987656099e-05,0.144448487608255,0.0327313086095386,0.00931431406873928,0.0243242258857138,0.00497627353573675,0.00315495690286482,0.0227011405795081,0.108671689009573,0.0621110112987244,1.22353282269632e-05,0.000286954232777113,0.000109859977440833,0.000135386239693273,0.00231854962890509,0.00036,0.000178841823740891,0.127057469024997,0.00129921434067618,0.0012559936,3.60446159734874,0.156
SalinityOnly,37,ice,ice,-0.678,30.229,29.129,0.774,0.774,6.868,0.130729523601038,0.134,0.722586462499013,1.10462252363541,1.127,11.8671473,2.85700686083336e-05,0.141540225053611,0.0683292987095829,0.0439137164496417,0.0264229982939708,0.00585193009901606,0.00337957134746727,0.0283467964636277,0.127794246690637,0.0665329513556206,1.89268245015852e-05,0.000459468926812385,0.000202878659327557,0.000196800287638189,0.00326273644226812,0.00036,0.000330267584951836,0.122973614977718,1.06960158761694e-05,0.0001806336,0.32704763989623,0.134
SalinityOnly,38,ice,ice,-0.404,30.77,29.67,0.7667,0.7667,7.241,0.14954069467869,0.087,0.729425949935008,1.11938813499018,1.119,13.778879,3.76755297478039e-05,0.142879943746367,0.0948677577480165,0.0682082018745672,0.0309256125975268,0.00692083752818665,0.00354966109468029,0.0361062837560152,0.151137010083496,0.0698814745006919,1.74225011960281e-05,0.000435560197235242,0.000257031668602752,0.000171825560828295,0.00290465129013825,0.00036,0.000418423646562619,0.118116938172869,0.00391133849089316,0.0011262736,-6.25406946786902,0.087
SalinityOnly,39,ice,ice,-0.554,30.937,29.837,0.7006,0.7006,8.011,0.145819853674626,0.152,0.731127119329195,1.14538896627418,1.123,14.3690069,5.74082828116507e-05,0.143213168780883,0.141879629213447,0.0976723720630631,0.0483041087541074,0.00725786906206259,0.00358118426510444,0.0545339810400043,0.1584970930397,0.070502064909584,2.06320557445029e-05,0.000524080216484437,0.000317826696161688,0.000201298873670658,0.00362549435447717,0.00036,0.000517392296077167,0.116613163152527,3.81942086030293e-05,0.0009884736,0.618014632537364,0.152
SalinityOnly,40,ice,ice,-0.39,31.104,30.004,0.8334,0.8334,6.007,0.168918479104268,0.155,0.760840455473086,1.0973527854983,1.128,14.9591348,2.29241953081225e-05,0.149033416603345,0.0549696338470217,0.0453651053006699,0.0163609942986209,0.00759823731648609,0.00360280941720243,0.0184065878431236,0.16593004318358,0.070927794993274,1.16299907742288e-05,0.000299867649892437,0.000230709530843845,0.000112577589305063,0.00216563747191581,0.00036,0.000375573654862074,0.115107318434569,0.000193724060575934,0.0011861136,-1.39184791042676,0.155
