RowID,IceReduction_pct,Temperature,Salinity,SeaIce,WindSpeed,Hg0_water,DGM_obs,HgII_water,Hg0_air,GEM_obs,MLD,Dw,P_sink,AS,Net,Diff_Hg0,Current_Hg0,fr_Hg0,Diff_HgII,Current_HgII,fr_HgII,Red_UVB,Red_UVA,Red_Bio,Ox_UVB,Ox_UVA,Ox_Dark,Ox_Bio,a_443,NSE_num,NSE_den,PBIAS_num,PBIAS_den
11,0,-0.405,27.56,0.3614,7.579,0.0702112586311962,0.087,0.808348328624213,1.11245944132052,1.237,6.322772,5.97043983707417e-05,0.158339258058461,0.0845654441219292,0.00759708687775351,0.0751951969131609,0.00294994525140248,0.00229880284891782,0.0339060761261695,0.0644208021632023,0.0452560761109046,0.000223664641695989,0.00283676610001667,0.000179403939303752,0.00293871932137635,0.0353295182636362,0.00036,0.000292052924447968,0.136914184850714,0.000281861836748584,0.0011262736,1.67887413688038,0.087
12,0,-0.418,27.641,0.6001,5.549,0.0664155036743258,0.089,0.705465450100576,1.08054171839567,1.23,6.60900169999999,1.90610573867394e-05,0.138186561410869,0.026026216121759,-0.000436227890202201,0.0244066397127811,0.00309255075365372,0.00237598593315459,0.0205266077023382,0.0675350161790533,0.0467755641941641,0.000139020372323696,0.0018090062430731,0.00015455121628587,0.00180634967287061,0.0215831623197831,0.00036,0.000251595003256068,0.136200389527962,0.000510059474284391,0.0009960336,2.25844963256742,0.089
13,0,-0.443,27.643,0.5022,4.723,0.0645777073244085,0.109,0.697674443080579,1.07805575811633,1.206,6.6160691,1.27013423597742e-05,0.136660459076775,0.0220797835345217,0.00353470443085219,0.0163924350817454,0.00309608180752593,0.00237786223098933,0.0141674742940876,0.0676121272111382,0.0468125024977928,0.000170411847347424,0.00221977726255224,0.000171333683213207,0.00221360813779794,0.0264568127520082,0.00036,0.000278915298254057,0.136182756115453,0.00197334008655591,0.0001336336,4.44222926755915,0.109
14,0,-0.403,27.816,0.353,3.978,0.0711088991149317,0.11,0.717986742484302,1.07925312896563,1.209,7.22739919999999,8.13337445906981e-06,0.140639231968556,0.025013819157344,0.0128155646476147,0.0102032787020659,0.0034033290617133,0.00253478957975268,0.00825489600993063,0.0743217820997437,0.0499019001131038,0.000208035985554517,0.00282752646963287,0.000215371174977437,0.00263449969437182,0.031004739343208,0.00036,0.000350604238335362,0.13465587936571,0.00151251772805256,0.0001115136,3.88911008850683,0.11
15,0,-0.406,27.891,0.146,2.847,0.0632011079197854,0.101,0.65944490292166,1.07208227941223,1.198,4.04025975398541,6.27729274625031e-06,0.129172057344094,0.0132334407730375,0.00395440791504631,0.00814929324358621,0.00190765833480578,0.00140178083869654,0.00818912139794306,0.0416593766013388,0.0275965815671069,0.000456040758572454,0.00543362106791766,0.000139623465771893,0.00570888821919167,0.0576673270871864,0.00036,0.000227294014047267,0.133992978490188,0.00142875624249171,0.0003825936,3.77988920802146,0.101
16,0,-0.299,27.946,0,2.96,0.0683347454675494,0.096,0.702843403040276,1.07539421259552,1.185,4.15480118863851,7.63666478404326e-06,0.137672954873414,0.0199456719872388,0.00926095781611902,0.00969729358130841,0.00196560896018218,0.00143004593034442,0.00832288850664897,0.0429249003499005,0.0281530308248153,0.000521389395521518,0.00630711586564787,0.000152555451671647,0.00647100526421851,0.0654425129151627,0.00036,0.000248346084116634,0.133506488781366,0.000765366308345278,0.0006031936,2.76652545324506,0.096
17,0,-0.296,27.957,0,3.015,0.0687880306263147,0.096,0.7044897480249,1.07596612050321,1.188,4.2029623048052,8.00265058671662e-06,0.137995440903437,0.020972082986726,0.00984262768246502,0.0101419780731591,0.00198917632975422,0.00144430087402417,0.00865658074014999,0.0434395637498351,0.0284336650760001,0.000515661857396663,0.00627139812672461,0.000154526333014513,0.00638883351867439,0.0647875009286563,0.00036,0.000251554495605021,0.133409154349504,0.000740491277194386,0.0006031936,2.72119693736853,0.096
18,0,-0.204,28.001,0,2.721,0.068562275638049,0.107,0.691943919857838,1.07381533349448,1.192,3.99333617696038,6.26403515935067e-06,0.135537964276891,0.0171120359167991,0.00825268887162423,0.00794640201980875,0.00189293907156208,0.00136344163843056,0.00716468833330934,0.0413379378407516,0.0268418053295165,0.000541194762151128,0.00651804270183508,0.000148571895994354,0.00665860230543954,0.0661965491520706,0.00036,0.000241861226037321,0.133019695776751,0.00147745865412532,0.0001838736,3.8437724361951,0.107
19,0,0.539,27.563,0,5.262,0.0653784647834366,0.067,0.786632954255271,1.09749498579124,1.128,5.42033457293655,2.93970719341486e-05,0.15408565086428,0.0596102340620635,0.0201495475639158,0.0378098985686674,0.00252918036057058,0.00196988242794069,0.0198527441627573,0.05523215305976,0.0387806849684327,0.000359846513973216,0.00454950619998441,0.000181203694718012,0.00472610465035711,0.0565678060016197,0.00036,0.000294982758843275,0.136887760505103,2.6293764585554e-06,0.0028686736,0.162153521656343,0.067
20,0,0.529,27.595,0,7.959,0.0704761711940691,0.083,0.831131081135157,1.14890692604346,1.27,6.83098976081864,8.13880094409425e-05,0.162801943266522,0.151879951391063,0.0475559784455148,0.102385589203786,0.00319110617274784,0.00247157195499507,0.0370467645308813,0.0696872660055731,0.0486573472629419,0.000288227602980697,0.00388553899438227,0.000226249846180241,0.00376908485553393,0.0474878210280535,0.00036,0.000368313703084114,0.136605840731913,0.000156846287960265,0.0014107536,1.25238288059309,0.083
21,0,0.521,27.597,0,9.196,0.072114684504591,0.086,0.846564142082428,1.17940580481099,1.263,7.39793191983901,0.000115989891238642,0.165824971005221,0.206616709212809,0.0597006244792765,0.144863728792009,0.00345620445151348,0.00267595856370864,0.0439411109151585,0.0754764730296856,0.0526810659234375,0.000259599472118696,0.00359360645307075,0.000242932942015672,0.0033937902852266,0.0438732501338363,0.00036,0.000395472231188304,0.136588217106326,0.000192801986407045,0.0011943936,1.3885315495409,0.086
22,0,0.218,27.863,0,9.63,0.07827253967977,0.093,0.828104097791543,1.20698980178955,1.24,7.84646974793722,0.000135276642312795,0.162209017816179,0.256122088537724,0.0900008972017139,0.164345823084642,0.0037010879109417,0.00273339023310065,0.0636019735024712,0.0808242295296973,0.0538117118169748,0.000249056501638521,0.00366462684201515,0.000269421813743814,0.00313133537692505,0.0393601268905037,0.00036,0.000438593650280627,0.134240528516028,0.000216898087483951,0.0007595536,1.472746032023,0.093
23,0,0.194,27.78,0,10.456,0.0776922202355443,0.086,0.844692558013897,1.22696705368888,1.216,8.1274777826791,0.00016347459294677,0.16545836514694,0.291975537692107,0.0909286617743856,0.199127672708103,0.0038222162422486,0.00286515777539865,0.0634436559035155,0.083469425830805,0.0564057933085618,0.00023532253845552,0.00345731173243487,0.00027329178021559,0.00299630898946028,0.0385384070342087,0.00036,0.000444893595699798,0.134973867227941,6.90192046146993e-05,0.0011943936,0.830777976445568,0.086
24,0,0.164,27.803,0,10.545,0.0782733943529947,0.087,0.843809012973875,1.23131815188475,1.217,8.18967454929266,0.000167508503612648,0.165285296358221,0.299784513557137,0.0943849968011383,0.20350309815881,0.00385465509557468,0.00287762472684784,0.0657413965266429,0.0841778243854994,0.056651227711047,0.000236696227528272,0.00348176744328458,0.00027671613464643,0.00300336364027895,0.0384036821257617,0.00036,0.000450468126168607,0.134770723702963,7.61536461183445e-05,0.0011262736,0.872660564700528,0.087
25,0,0.087,27.908,0,8.381,0.0778441912352272,0.098,0.810351668943605,1.17325343334959,1.215,7.31548897124288,9.69989283435974e-05,0.158731672329114,0.195574963407045,0.0758761493615658,0.118072458033563,0.00345620341915297,0.00253188670211091,0.0541242472486946,0.0754764504850326,0.0498447517362613,0.000265767239676296,0.00389188004817166,0.000254264923033163,0.00331817215183296,0.0410122933193987,0.00036,0.000413919642147009,0.13384264150738,0.000406256626962092,0.0005089536,2.01558087647728,0.098
26,0,0.185,27.758,0,8.291,0.074707250537505,0.089,0.82163130261887,1.16397851169565,1.203,7.13511066762651,9.23005873963465e-05,0.160941126798269,0.178929133760094,0.0631961226444452,0.113954270645059,0.00335286530056217,0.00252320405178328,0.046351956773663,0.0732197562326595,0.049673818119985,0.00026163726250153,0.0037585745007311,0.000240822812960648,0.00334234749254669,0.0423293806588292,0.00036,0.000392037137377799,0.135168127300262,0.000204282687197652,0.0009960336,1.4292749462495,0.089
