Scenario,RowID,Regime0,RegimeNew,Temperature,Salinity0,Salinity,SeaIce0,SeaIce,WindSpeed,Hg0_water,DGM_obs,HgII_water,Hg0_air,GEM_obs,MLD,Dw,P_sink,AS,Net,Diff_Hg0,Current_Hg0,fr_Hg0,Diff_HgII,Current_HgII,fr_HgII,Red_UVB,Red_UVA,Red_Bio,Ox_UVB,Ox_UVA,Ox_Dark,Ox_Bio,a_443,NSE_num,NSE_den,PBIAS_num,PBIAS_den
IceOnly,11,open,open,-0.062,28.28,28.28,0,0,10.695,0.0870419246788579,0.101,0.814446547287519,1.26715242017232,1.21,8.79779241074531,0.000187448225455981,0.159533777035533,0.364096768441213,0.144090355570424,0.218639692307807,0.00421192216274099,0.00288056012908312,0.100796474408002,0.091979810216391,0.0567090163931162,0.000232655136379716,0.00366185163059098,0.000322871861065714,0.00273697795232413,0.0339597559794724,0.00036,0.000525605355223255,0.13054576086804,0.000194827866670675,0.0003825936,1.39580753211421,0.101
IceOnly,12,open,open,-0.404,28.753,28.753,0,0,9.735,0.0958021116510729,0.113,0.776557694604418,1.26117144658808,1.18,8.9999754099301,0.000163022748231554,0.152112109160325,0.353362632766462,0.170424597898317,0.182253696505645,0.00438078267050955,0.00273298300192352,0.118220113052225,0.0956673801328038,0.0538036947374955,0.000248407977985004,0.00398683841612692,0.000358834260214601,0.00271608185951886,0.0313395009466594,0.00036,0.000584148795698188,0.126334946592992,0.000295767363662163,5.71536e-05,1.71978883489271,0.113
IceOnly,13,open,open,-0.428,28.732,28.732,0,0,9.983,0.0956869686950961,0.123,0.780869624189376,1.26952719883115,1.179,9.09489417617458,0.0001726803098137,0.152956729860468,0.368358816410894,0.174484663857686,0.193160444469297,0.00442375156444384,0.00277139775873479,0.121539885884404,0.0966057333493581,0.0545599584418193,0.000245923936100254,0.0039469243950613,0.000360972463733032,0.0026971660851197,0.0312414319106772,0.00036,0.000587629592123541,0.126522322641348,0.000746001679062659,5.95359999999999e-06,2.73130313049039,0.123
IceOnly,14,open,open,-0.414,28.71,28.71,0.0058,0.00524552,10.676,0.0959747796631402,0.115,0.790065731787395,1.29550149959613,1.17,9.40197493068423,0.000201970510248924,0.154758063273966,0.4149476495873,0.188594365383834,0.225603104363299,0.00456961385605828,0.00287535863450194,0.132966847973536,0.0997910690184513,0.0566066156001266,0.000230883990147834,0.00375202607123253,0.000369092350098163,0.00254041198891753,0.0299195431952726,0.00036,0.000600848011787708,0.126718579836574,0.000361959008866062,3.09135999999999e-05,1.90252203368598,0.115
IceOnly,15,open,open,-0.452,28.81,28.81,0.0657,0.05941908,10.31,0.0980031880621,0.12,0.779841555591944,1.27786406035318,1.169,9.38091423008712,0.000183014310241353,0.152755351799568,0.383008430525121,0.180057776832561,0.2023762954681,0.00457525858688256,0.00282180908073432,0.129744235865844,0.0999143384545613,0.0555523961475305,0.00021586602009911,0.00355376273329245,0.000366748306230348,0.00234101796847378,0.0274339150419243,0.00036,0.000597032126421497,0.125826160361158,0.000483859735431342,3.13600000000006e-07,2.19968119379,0.12
IceOnly,16,open,open,-0.472,28.784,28.784,0.042,0.0379848,11.722,0.0989180564276608,0.119,0.797962338684428,1.34031676408495,1.17,10.0239930265649,0.000252710511387646,0.156304850510335,0.495205946373883,0.216430238910375,0.278167699080307,0.00488448885656756,0.00302833713799204,0.156498892123151,0.106667298366878,0.0596182730811233,0.000202640157739364,0.00338608338613613,0.000389746245820425,0.0022057625402741,0.0263529748105209,0.00036,0.000634470632730924,0.126058273381328,0.000403284457642614,2.43360000000002e-06,2.00819435723392,0.119
IceOnly,17,open,open,-0.518,28.787,28.787,0.0984,0.08899296,12.238,0.100059961036547,0.123,0.803112354473826,1.35239041382794,1.17,10.2722795041552,0.000272196567605557,0.15731363552319,0.516606284450225,0.218152889281748,0.297898156384206,0.00500599552365493,0.00310179913693412,0.161631095496735,0.109320756751648,0.0610645048956294,0.000184949407910962,0.00311754468314567,0.000390522766711475,0.00201233026868482,0.0242399894668229,0.00036,0.000635734736507053,0.126031494108278,0.000526245387644724,5.95359999999999e-06,2.29400389634526,0.123
IceOnly,18,ice,ice,-0.622,29.032,29.032,0.2682,0.24256008,11.582,0.10587473917204,0.128,0.7685484601525,1.30638142528375,1.172,11.5243784,0.000204968294420082,0.150543260440254,0.433225241308056,0.215354387005584,0.217732208134724,0.00566397967543727,0.00333809275834432,0.156759608283043,0.123689791854364,0.0657163705917658,0.000138880440332664,0.00241161151871925,0.000420175164204523,0.0014615875384127,0.0175118581725787,0.00036,0.000684006081263177,0.123841910537773,0.000489527166705277,5.53536e-05,2.21252608279603,0.128
IceOnly,19,open,open,-0.574,29.024,29.024,0.0821,0.07425124,11.67,0.104010120569809,0.118,0.788146437755451,1.34903479756068,1.179,10.4399398618642,0.000257527049133332,0.154382111988793,0.51066148536308,0.234250208279347,0.276218933599326,0.00512958798738148,0.00302817396075497,0.171987656235502,0.112019764691136,0.0596150606431955,0.000177858092667268,0.00310044469483736,0.000411644632024117,0.00187371035586741,0.0225579078181295,0.00036,0.000670119168411353,0.123913487551406,0.000195716726471273,6.55360000000003e-06,1.39898794301907,0.118
IceOnly,20,ice,ice,-0.639,29.073,29.073,0.3206,0.28995064,10.923,0.106892213096507,0.13,0.754484041290044,1.27307021107661,1.179,11.6692601,0.000167215944399403,0.147788322291876,0.373191774900298,0.19645471136497,0.176688217258763,0.00574328528794365,0.00335603237943529,0.13952157141961,0.125421665071766,0.0660695443569174,0.000119055736640967,0.00213736671842828,0.000412492257401366,0.00124647712224005,0.0153698225692998,0.00036,0.000671499023676642,0.123474994412483,0.000533969815577251,8.91136000000001e-05,2.31077869034932,0.13
IceOnly,21,ice,ice,-0.696,29.076,29.076,0.3917,0.35425348,9.585,0.107475919712869,0.132,0.731000264373934,1.21608167231249,1.176,11.6798612,0.000108079286981222,0.143188320434217,0.270575294732858,0.156723425777199,0.113852838957295,0.00574909603406995,0.00335732161073483,0.102735832446308,0.125548559944287,0.0660949251980121,0.000105133967468535,0.00191093915070044,0.000395114540524391,0.00110030859385553,0.0137320271874425,0.00036,0.00064320971713273,0.123448141391397,0.000601430513929641,0.0001308736,2.45240802871309,0.132
