Temperature,Salinity,DGM,ICE,WS,GEM,Lat
-0.3272,28.5031,0.1031,0.0000,6.9992,1.0293,76.7852
-0.3761,28.5085,0.1008,0.1480,6.4087,1.0250,76.7731
-0.4402,28.3096,0.1156,0.2330,6.1297,1.0430,76.7337
-0.4471,28.1490,0.1158,0.3137,7.1591,1.0585,76.6280
-0.4325,28.1149,0.1273,0.2276,6.1956,1.0707,76.5429
-0.3473,28.1651,0.0942,0.0132,6.1717,1.0738,76.4669
-0.3415,28.2464,0.0809,0.0584,6.7490,1.0432,76.4396
-0.3421,28.2627,0.0769,0.0557,6.6534,1.0363,76.4526
-0.3667,28.2487,0.0753,0.2652,7.4743,1.0217,76.4635
0.1208,28.2059,0.0903,0.3143,7.2901,1.0188,76.4643
-0.3218,28.1982,0.0816,0.4392,6.7091,1.0515,76.4860
-0.3631,28.2314,0.0928,0.4002,7.2098,1.0553,76.4969
-0.3405,28.3267,0.0700,0.3667,6.9556,1.0562,76.4669
-0.3533,28.3529,0.0580,0.3567,6.3273,0.9680,76.4719
-0.3463,28.3117,0.0663,0.3436,8.9000,0.9802,76.4556
-0.3499,28.2758,0.0590,0.3361,7.0697,0.9830,76.4174
-0.3426,28.2228,0.0679,0.3048,6.4031,0.9705,76.3960
-0.3392,28.2493,0.0798,0.2920,5.5422,0.9905,76.3742
-0.3567,28.2868,0.0691,0.1407,5.3805,1.0017,76.3666
-0.3467,28.3079,0.0778,0.0488,5.3985,1.0175,76.3684
-0.2864,28.1233,0.0582,0.0442,5.9594,1.0292,76.3556
-0.3492,28.0819,0.0650,0.1288,5.5485,1.0075,76.3591
-0.3355,28.1047,0.0833,0.0808,4.8825,1.0110,76.3582
-0.3243,28.0513,0.0714,0.0536,3.7997,1.0033,76.3158
-0.2153,27.9104,0.0517,0.0041,3.1077,0.9863,76.1639
-0.0357,27.3281,0.0281,0.0000,2.8001,0.9598,75.9774
0.0018,27.0454,0.0185,0.0000,3.1932,0.9765,75.7851
0.0572,26.9837,0.0153,0.0000,3.4571,1.0023,75.5876
0.1635,26.8379,0.0173,0.0000,4.9791,1.0173,75.3926
0.2656,26.8508,0.0258,0.0000,4.7764,1.0625,75.2709
0.2703,26.8182,0.0160,0.0000,4.2883,1.0585,75.1062
0.2844,26.7274,0.0110,0.0000,4.2900,1.0532,74.9150
0.3263,26.6879,0.0115,0.0000,2.1302,1.0490,74.7230
0.4374,26.6212,0.0075,0.0000,2.0361,1.0395,74.5273
0.5141,26.6439,0.0077,0.0000,1.9284,0.9727,74.3281
1.3409,26.8588,0.0095,0.0000,1.1632,1.0307,74.1311
1.4165,26.9432,0.0163,0.0000,0.7361,1.0192,73.9325
1.6778,27.2322,0.0256,0.0000,0.3319,0.9408,73.7329
1.3266,27.0294,0.0264,0.0000,0.1640,0.8800,73.5309
0.7909,26.9897,0.0292,0.0000,0.2980,0.8820,73.3393
0.2907,27.6963,0.0399,0.0000,0.0633,0.8915,73.1777
0.3170,28.0747,0.0320,0.0000,0.6062,0.8708,72.9726
0.5093,28.5457,0.0323,0.0000,0.6972,0.9362,72.7702
1.2179,28.6205,0.0459,0.0000,0.8028,0.9707,72.5692
2.5519,29.1004,0.0497,0.0000,0.6882,0.9275,72.3697
3.1937,29.3208,0.0484,0.0000,0.7648,0.9847,72.1677
3.1861,29.3470,0.0486,0.0000,0.9742,0.9833,71.9674
3.6804,29.5559,0.0449,0.0000,0.6277,0.9783,71.7701
4.3329,29.7412,0.0445,0.0000,0.8027,0.9800,71.5778
4.5463,29.6578,0.0501,0.0000,1.0377,0.9708,71.3904
4.2837,29.3842,0.0504,0.0000,1.2139,1.0267,71.2009
3.9697,29.0084,0.0516,0.0000,2.0890,1.0380,71.0108
3.7646,28.8183,0.0533,0.0000,1.2909,1.0332,70.8198
3.7003,28.8354,0.0502,0.0000,1.1631,1.0250,70.6255
3.7052,28.7589,0.0528,0.0000,1.9039,1.0145,70.4294
3.7797,28.8099,0.0557,0.0000,2.7988,1.0100,70.2349
4.7131,29.4146,0.0531,0.0000,3.6855,1.0055,70.0434
6.3092,30.0658,0.0504,0.0000,4.6628,0.9900,69.8547
6.5763,29.8203,0.0494,0.0000,4.6332,0.9997,69.6648
6.8038,29.5480,0.0456,0.0000,4.4527,0.9840,69.4743
