RowID,Temperature,Salinity,SeaIce,WindSpeed,Hg0_water,DGM_obs,HgII_water,Hg0_air,GEM_obs,MLD,Dw,P_sink,AS,Net,Diff_Hg0,Current_Hg0,fr_Hg0,Diff_HgII,Current_HgII,fr_HgII,Red_UVB,Red_UVA,Red_Bio,Ox_UVB,Ox_UVA,Ox_Dark,Ox_Bio,a_443,NSE_num,NSE_den,PBIAS_num,PBIAS_den
11,-0.359,30.097,0.631,7.758,0.132701233757971,0.169,0.772790343446086,1.14526841822063,1.118,15.2877689,7.59274868671025e-05,0.1818251934008,0.1453498712839,0.0789505160165707,0.0693937180268124,0.00778923019220312,0.00361056133357343,0.0633432490131963,0.170100938984205,0.0710804054345985,3.02362046590979e-05,0.000635350565787562,0.000423288020845158,0.000353174589673817,0.00639033171862835,0.00036,0.000689073522306071,0.114267855046123,0.0013176004306935,0.0023464336,3.62987662420294,0.169
12,-0.363,30.1,0.631,8.196,0.133373716847192,0.165,0.781397689776226,1.15498739198811,1.107,15.29837,8.97228447435564e-05,0.18385036416596,0.162792647375483,0.0841945377033521,0.0816683398685763,0.00779540848128622,0.00361076028869606,0.071121901613254,0.170235860247079,0.0710843222246689,3.02200770884998e-05,0.000635453793319436,0.00042371776342576,0.000352986211264799,0.00638742637066224,0.00036,0.000689773103251237,0.114240765238844,0.00100022178606157,0.0019749136,3.16262831528078,0.165
13,-0.36,30.107,0.631,7.436,0.132853291624866,0.16,0.767177573640925,1.13896357452558,1.116,15.3231059,6.73182208455397e-05,0.180504598540897,0.134034481460214,0.0755862623368555,0.0614687060466459,0.00780982867664792,0.00361121209554918,0.0579859423579321,0.170550767973624,0.0710932168566474,3.01633228197249e-05,0.000635454123054871,0.000424727767806186,0.00035232329189999,0.006378215196892,0.00036,0.000691417296428675,0.11417755318663,0.000736943775604582,0.0015555136,2.71467083751342,0.16
14,-0.362,30.103,0.67753,6.754,0.135339053573766,0.153,0.758179379885004,1.11988306378516,1.114,15.3089711,4.83835985907925e-05,0.178387467634948,0.0997904260156043,0.0595626380629101,0.0435143981256323,0.00780158784715533,0.0036109560496502,0.0437791216775042,0.170370805024769,0.0710881761317771,2.65774862615529e-05,0.000560031069325176,0.00039250737724887,0.000310438856689016,0.00562581713008159,0.00036,0.000638965497846998,0.1142136747881,0.000311909028670297,0.0010523536,1.76609464262337,0.153
15,-0.352,30.104,0.67753,5.835,0.135231076849745,0.157,0.745306104596958,1.10595058999992,1.112,15.3125048,3.12078777276588e-05,0.175358592094769,0.074785623404561,0.0499756960108263,0.0280858288905974,0.00780364787506414,0.00361102059348636,0.0301784752741265,0.170415791842847,0.0710894467934884,2.65335016208178e-05,0.000559563120797602,0.000392585127119499,0.000309925093218411,0.00561995718418694,0.00036,0.000639092067403835,0.114204644494907,0.000473886015121719,0.0013278736,2.17689231502552,0.157
16,-0.356,30.109,0.67753,5.199,0.136006952476856,0.156,0.740003215170834,1.09770698645683,1.12,15.3301733,2.21539474881831e-05,0.174110907126051,0.0599907145767236,0.0435134687520234,0.0198426200862877,0.00781394980925157,0.00361133798905302,0.0219906457263683,0.170640765124596,0.0710956952971079,2.65079535546553e-05,0.000559692206448578,0.000393253481279787,0.000309626678523656,0.0056154518362018,0.00036,0.000640180085804304,0.114159491957297,0.000399721949262705,0.0012559936,1.99930475231443,0.156
17,-0.344,30.103,0.67753,4.189,0.137914392929984,0.155,0.738239603357024,1.08649035927484,1.118,15.3089711,1.15356510304037e-05,0.173695957506339,0.0398600792731447,0.0332159223652886,0.0102104742974425,0.00780158784715533,0.0036109560496502,0.0115488870788261,0.170370805024769,0.0710881761317771,2.65267109298135e-05,0.000559386306133526,0.000392448906415434,0.000309845774417123,0.00561934013263071,0.00036,0.000638870312769311,0.1142136747881,0.000291917968950973,0.0011861136,1.70856070700158,0.155
18,-0.407,30.102,0.67753,2.888,0.143277091998224,0.156,0.75037369934454,1.0753973691643,1.107,15.3054374,3.78670341242092e-06,0.176550915993315,0.0199513371247023,0.0208594697311655,0.00323942127399424,0.0077995279388894,0.00361089115090643,0.003569108344154,0.170325820819449,0.0710868984830701,2.65118076977025e-05,0.000559106543234988,0.000392027501474305,0.000309671696918146,0.00561768764592851,0.00036,0.000638184304725613,0.114222705009828,0.000161872388021659,0.0012559936,1.27229080017761,0.156
19,-0.604,30.139,0.67939,4.016,0.14043863168125,0.157,0.741907584892898,1.08483205289569,1.109,15.4361843,1.05102913522233e-05,0.17455897482767,0.0368838939726467,0.0316093302276258,0.00915621577014443,0.00787582422689309,0.00361305603595788,0.0103361384748818,0.171991976512655,0.0711295181460421,2.64459286332409e-05,0.000560477978386576,0.000395670895395816,0.000308902195195902,0.0055883168421239,0.00036,0.000644115411109468,0.113888539286816,0.000274278920589301,0.0013278736,1.65613683187502,0.157
20,-0.103,30.256,0.71694,6.056,0.144840657180507,0.134,0.75588636945086,1.10799446605589,1.114,15.8496272,3.73731638118036e-05,0.177847958996941,0.0784537959149741,0.0513165110550983,0.031648627315131,0.00811816332472406,0.00361670439089748,0.0342304421821401,0.177284169332287,0.0712013425867087,2.37456931742817e-05,0.00051225285643272,0.000386287353914145,0.000277362041231715,0.00498072573978943,0.00036,0.000628839878464887,0.112831214821276,0.000117519848105271,0.0001806336,-1.08406571805067,0.134
21,-0.56,29.591,0.71069,6.395,0.115170872756868,0.15,0.741227781740083,1.09978913928053,1.108,13.4997167,3.10167387468422e-05,0.174399028031254,0.0637275829294136,0.0332177961419129,0.0313540060446523,0.00676256601924535,0.00353130029897299,0.0306046456968982,0.147680682356488,0.0695200091543368,2.85160657605268e-05,0.000526466184795077,0.000307845817664647,0.000333082473069425,0.00578367373418907,0.00036,0.000501144354337797,0.118827569234079,0.00121306810451831,0.0008667136,3.48291272431324,0.15
22,0.586,29.612,0.80582,6.39,0.120355146261458,0.145,0.740214435071816,1.09122601665056,1.114,13.5739244,2.76986912558255e-05,0.174160603786564,0.0483592287952473,0.0225105467441915,0.0272059189441057,0.00680456532998847,0.00353639715555353,0.0274662586688404,0.148597861848916,0.069620349959745,2.04843780251449e-05,0.000375244536583306,0.00024685687225703,0.000239268184791078,0.00411030641218423,0.00036,0.000401860024604468,0.118638713912327,0.000607368815794133,0.000597313599999999,2.46448537385421,0.145
