IceReduction_pct,Hg0_water_mean,Hg0_water_std,HgII_water_mean,HgII_water_std,Hg0_air_mean,Hg0_air_std,MLD_mean,MLD_std,Dw_mean,Dw_std,P_sink_mean,P_sink_std,AS_mean,AS_std,Net_mean,Net_std,Diff_Hg0_mean,Diff_Hg0_std,Current_Hg0_mean,Current_Hg0_std,fr_Hg0_mean,fr_Hg0_std,Diff_HgII_mean,Diff_HgII_std,Current_HgII_mean,Current_HgII_std,fr_HgII_mean,fr_HgII_std
1,0.0976157763889447,0.037984330142134,0.783582279620745,0.0742400544654065,1.12874816958061,0.0497201229631082,9.27281628133732,3.58367258008154,6.7492625194459e-05,5.54802040687471e-05,0.153488084764241,0.0145421407158459,0.113423091537495,0.0893789633928708,0.0386325614875016,0.0553249071196736,0.0750294836626589,0.0642934579809309,0.00450778686410565,0.00188764303528436,0.00283304773872097,0.000697648333828794,0.0341865182066668,0.0322325537232996,0.0984408933109421,0.0412222831840648,0.0557736493800413,0.0137344644884466
1.1,0.0951093443711399,0.0374244840402912,0.786517345231497,0.0783979170841357,1.12612518828481,0.048417113579991,9.04499666043348,3.48796752801916,6.68185894043982e-05,5.50733070117177e-05,0.154063005370498,0.0153565827810372,0.108712943288032,0.0870083786978351,0.0335649311124511,0.055591334589975,0.0751877837218297,0.0646849418018428,0.00438282787944568,0.00183091239307745,0.00280559395373847,0.000699040385426397,0.0320995665909394,0.0325636835146434,0.0957120433346697,0.0399834013856772,0.05523317215587,0.0137618695323725
1.2,0.0942071488273773,0.036113592361062,0.78758478490523,0.0799885370953652,1.12492784914916,0.0469560289573382,8.93056014521523,3.36546529047518,6.72086896866787e-05,5.55823369833996e-05,0.154272095437213,0.0156681534041368,0.106523177639759,0.0843841893033312,0.0302571387767651,0.0559402695057105,0.076188427737005,0.0662662739917746,0.00431849641695571,0.00176109253369565,0.00279644027506372,0.000690955984268514,0.0307643460922806,0.0328593556064109,0.0943071750863639,0.0384586777162601,0.0550529654978723,0.0136027135289403
1.3,0.0919357110128131,0.0354753691922233,0.78888572417161,0.0820402985274268,1.12229556345706,0.0457966297452536,8.72075725965122,3.27406948252874,6.59106319400829e-05,5.41237842466589e-05,0.15452692340051,0.0160700524015882,0.10177547288523,0.0822776195675405,0.0261927845920818,0.0540207737524776,0.0753357577905059,0.0647108363965899,0.00420479433573583,0.00170666909040029,0.00276707963935795,0.000692789623340866,0.0295535017626344,0.0318355436142228,0.0918241529772832,0.0372701804477417,0.0544749484814105,0.0136388120179679
1.4,0.0901790252334821,0.0345098554787846,0.790646218339945,0.0832032961145754,1.11996462311827,0.0445886064857065,8.51216429198083,3.20168344561712,6.53399480335064e-05,5.38239602450694e-05,0.154871768970866,0.0162978603508993,0.0975528855207627,0.0800794820242245,0.0219845436444911,0.0540504910349433,0.0751920199544774,0.0646466723339585,0.00409433615872473,0.00166122850635251,0.00273021073257811,0.000698673568332964,0.0285689437535578,0.0308137307540413,0.0894119711358889,0.036277850548151,0.0537491176202995,0.0137546480769497
1.5,0.0903302586269964,0.0324835528905605,0.790084349926178,0.0823322933254571,1.11951240566816,0.0431200038474705,8.51091114500433,3.01637816708978,6.53905525051576e-05,5.27333716822591e-05,0.154761710194702,0.0161272483380922,0.0966132650844585,0.0775294178314657,0.0207793134991556,0.0501342570580387,0.0753745958641594,0.0631818065853037,0.00408792486160406,0.00156321454445521,0.00274703918407618,0.000665183408093213,0.0292476232050223,0.0286361100309201,0.0892719614515656,0.0341374250451301,0.054080416009887,0.013095333929375
1.6,0.0891740686197731,0.0307401398751102,0.794515687515261,0.0859275667234827,1.11795971685035,0.0413577463609179,8.35370757067288,2.91089654474044,6.64168218078736e-05,5.2196974466702e-05,0.155629720532839,0.0168314904354682,0.0937641938890706,0.0743816964054026,0.0159371896711221,0.0506451359386588,0.0772495880137465,0.062978427670128,0.00400317782947569,0.00150263139346641,0.00272370758911718,0.000660720925787467,0.0280374137026581,0.0278734854376981,0.0874212587010435,0.0328144122934806,0.0536210915237744,0.0130074819245945
1.7,0.0882931280482145,0.0291144253547492,0.794715386518172,0.0906869873377412,1.11709004810651,0.0396532967836622,8.24147743209831,2.78465604310783,6.78460343160359e-05,5.32413521968521e-05,0.155668837570429,0.0177637656714824,0.0921278362166387,0.0713758046358275,0.0119748278346058,0.0511150578063711,0.0794696752926303,0.0650773398930969,0.00394108755930148,0.0014318291886477,0.00271176145769119,0.000652624277147426,0.026494762955758,0.0290263601127595,0.0860653335328557,0.0312682361984579,0.0533859104018701,0.0128480848074083
1.8,0.0884689012684205,0.0273342621647224,0.78998872482832,0.0933489706572933,1.11703804915057,0.0382714966618153,8.30593993100795,2.47244595061016,6.79882025000211e-05,5.52726738725523e-05,0.154742979152019,0.0182851949227796,0.0919390399019682,0.0689608183016054,0.0116532528909077,0.0486363322665706,0.0794974717023412,0.0678904329964453,0.00396512139643706,0.00127753680573462,0.00275312050338863,0.000565921922150675,0.0257967685272486,0.0306707731428398,0.0865901836352763,0.0278988044877483,0.054200137737998,0.011141192727222
1.9,0.0892728699330488,0.0250024800638286,0.781001624389867,0.0921800258952606,1.11710127474768,0.0369315636751357,8.39674621651648,2.09348192537146,6.69406266234042e-05,5.58626657426678e-05,0.152982586057691,0.0180562220409446,0.0919014017060646,0.0666622772063665,0.0133198099965006,0.0426969293846355,0.0777223667034733,0.0682117630716159,0.00400437620683457,0.00109317471048007,0.00279536583179703,0.000447294923175016,0.0268379256554254,0.0303320178625492,0.0874474288242742,0.0238727114410585,0.0550318131462134,0.00880580650783483
2,0.0869546867474317,0.0241447910129598,0.784801820926187,0.0985518227705525,1.11491769297196,0.0353953383201923,8.15037834519335,1.98412653104776,6.78605497659287e-05,5.667163941457e-05,0.153726968496214,0.0193043295139323,0.0879644625440339,0.0638839910256706,0.00734865605143131,0.0446089508033399,0.0796079495837328,0.069730143323852,0.00387369156202422,0.00103474550009048,0.00275248220590125,0.000431166054611652,0.0246548618253113,0.0323918764435809,0.0845935420800732,0.0225967363695651,0.0541875717018616,0.00848828066883998
