IceMultiplier,SalinityAnomaly,N,Hg0_water_median,Hg0_water_mean,HgII_water_median,HgII_water_mean,MLD_median,MLD_mean,AS_median,AS_mean,Net_median,Net_mean,Red_UVA_median,Red_UVA_mean,Ox_UVA_median,Ox_UVA_mean,SeaIce_median,SeaIce_mean,Salinity_median,Salinity_mean,n_ice0,n_open0,n_iceNew,n_openNew,n_shift
0.8,0,124,0.132589036006293,0.12562909531564,0.754278684722393,0.765398535196636,14.38490855,12.9698508712676,0.162655928168538,0.202865148186991,0.104676734732893,0.111073176153503,0.00120405544815487,0.00182212814098992,0.00870075122124665,0.0155623423077563,0.485272,0.394053612903226,29.8415,29.5296532258064,102,22,102,22,0
0.8,-0.3,124,0.124969849660771,0.11848653385949,0.757459310648782,0.757376316986988,13.32479855,12.032244730336,0.143379024891799,0.184969420589225,0.0997185815346623,0.102215225210048,0.00124667591846815,0.00183142814255996,0.00837336917366694,0.0166407764393636,0.485272,0.394053612903226,29.5415,29.2296532258065,102,22,102,22,0
0.8,-0.6,124,0.116325285062561,0.11104110734836,0.757536666775737,0.757530799697094,12.26468855,11.1032825705386,0.129917090711123,0.16796877357336,0.0874515278090797,0.088426201306935,0.00128698311715797,0.00182881198376054,0.00906018087283234,0.0182181436427027,0.485272,0.394053612903226,29.2415,28.9296532258065,102,22,102,22,0
0.8,-1,124,0.10454635758274,0.100501721196659,0.753654525423273,0.767356553515816,10.85120855,9.87511822363533,0.10850138480555,0.145399211181971,0.0654351298878676,0.0652721393415389,0.00133724106705773,0.00180779890912929,0.0104155274112266,0.021342831936671,0.485272,0.394053612903226,28.8415,28.5296532258064,102,22,102,22,0
0.8,-1.5,118,0.0924291240766388,0.0892508616577351,0.751988609160576,0.786047871020917,9.34055179999999,8.68966485006908,0.0926522929035632,0.121162339993351,0.0283277823065639,0.03778914855973,0.00136860184727545,0.00168559438179706,0.0123330346835859,0.0238522672174228,0.4872,0.399229898305085,28.414,28.1196694915254,96,22,96,22,0
0.6,0,124,0.126828430873131,0.121188946393001,0.752233079331899,0.763228286540322,14.38490855,12.8682409598318,0.176052026159664,0.230527187010241,0.119937514118556,0.127599215671772,0.00150807883924115,0.00206879112147027,0.0106238186025182,0.0176284155822926,0.363954,0.295540209677419,29.8415,29.5296532258064,102,22,96,28,6
0.6,-0.3,124,0.120123455068011,0.114511647328843,0.759224978630172,0.754899575202091,13.32479855,11.9685548886821,0.163367785773981,0.210615607455597,0.113692535929781,0.119168774115471,0.00156052178312873,0.00207187190401265,0.010478935363966,0.0186424943384627,0.363954,0.295540209677419,29.5415,29.2296532258065,102,22,96,28,6
0.6,-0.6,124,0.112518460769032,0.107575019486892,0.751708979448496,0.755601371753156,12.26468855,11.0791512186795,0.145661601738677,0.191824642476629,0.103917388737146,0.105037671430891,0.0016101140306118,0.00206084105639878,0.0113350322310229,0.0201856066934977,0.363954,0.295540209677419,29.2415,28.9296532258065,102,22,96,28,6
0.6,-1,124,0.102473145958301,0.0977092398091554,0.745059664393268,0.767263936283212,10.85120855,9.9057426678579,0.130044539713108,0.166743151170434,0.0755829164177644,0.0808569856129664,0.00167189192122586,0.00202607318060711,0.0130994926401353,0.0232720114609441,0.363954,0.295540209677419,28.8415,28.5296532258064,102,22,96,28,6
0.6,-1.5,118,0.0906956095804689,0.0871587076358097,0.754285286509838,0.789122627691439,9.34055179999999,8.72916247793801,0.111104249279619,0.140327842039998,0.0370866393291461,0.0509701089212906,0.0017218131105103,0.00190534586490053,0.0154656867282828,0.0259929872987122,0.3654,0.299422423728814,28.414,28.1196694915254,96,22,92,26,4
