Scenario,RowID,Regime0,RegimeNew,Regime0_Control,RegimeNew_Control,InitialRegimeSame,RegimeShift_vsControl,Salinity0,Salinity,SeaIce0,SeaIce,Hg0_water,HgII_water,MLD,AS,Net,Diff_Hg0,Diff_HgII,Current_Hg0,Current_HgII,fr_Hg0,fr_HgII,Red_UVB,Red_UVA,Red_Bio,Ox_UVB,Ox_UVA,Ox_Dark,Ox_Bio,Salinity_1,SeaIce_1,Hg0_water_Control,HgII_water_Control,MLD_Control,AS_Control,Net_Control,Diff_Hg0_Control,Diff_HgII_Control,Current_Hg0_Control,Current_HgII_Control,fr_Hg0_Control,fr_HgII_Control,Red_UVB_Control,Red_UVA_Control,Red_Bio_Control,Ox_UVB_Control,Ox_UVA_Control,Ox_Dark_Control,Ox_Bio_Control,Salinity_Control,SeaIce_Control,d_Hg0_water,d_HgII_water,d_MLD,d_AS,d_Net,d_Diff_Hg0,d_Diff_HgII,d_Current_Hg0,d_Current_HgII,d_fr_Hg0,d_fr_HgII,d_Red_UVB,d_Red_UVA,d_Red_Bio,d_Ox_UVB,d_Ox_UVA,d_Ox_Dark,d_Ox_Bio,d_Salinity,d_SeaIce
SalinityIce,112,open,open,open,open,1,0,28.263,26.563,0.05572,0.050393168,0.0451578537824031,0.936475238171565,5.58578203887472,0.0274899929698859,-0.03803326387107,0.0627174114234123,-0.00295994421947565,0.00251181892802452,0.0548530146975181,0.00231051445726251,0.0454866402233852,0.000247798427652903,0.00238268625036443,0.000141011463377996,0.00346115722732306,0.0602753018053793,0.00036,0.000229553545033948,26.563,0.050393168,0.0825199899688574,0.763661310583263,6.77000917069645,0.130000699395071,0.0615232242443844,0.0673435391287817,0.0445966184185382,0.00323917742325655,0.070737044308166,0.00222240589850194,0.0437520644883814,0.000258619466061821,0.00398543219258117,0.0002450839458618,0.00305075763174677,0.037133811038558,0.00036,0.000398973865356419,28.263,0.05572,-0.0373621361864543,0.172813927588302,-1.18422713182173,-0.102510706425185,-0.0995564881154544,-0.0046261277053694,-0.0475565626380139,-0.00072735849523203,-0.0158840296106479,8.81085587605699e-05,0.0017345757350038,-1.0821038408918e-05,-0.00160274594221674,-0.000104072482483804,0.00041039959557629,0.0231414907668213,0,-0.000169420320322471,-1.7,-0.005326832
SalinityOnly,113,ice,ice,ice,ice,1,0,28.249,27.149,0.26521,0.26521,0.0613335571590369,0.863191369011014,4.87042129999999,0.0704426779456256,-0.0253553341068964,0.0941384772436172,0.0213361350090637,0.00223845098360336,0.0488832150014241,0.00187128687345141,0.0368396538268261,0.000224483433040785,0.00268428946528851,0.000129782003753886,0.00308622447123829,0.0431434198210702,0.00036,0.000211273029366791,27.149,0.26521,0.084968700700747,0.752008814877273,8.7574913,0.134150442043002,0.0693490017061492,0.0632992677337812,0.0454982745637237,0.00418803222249662,0.0914581025292935,0.00288099797543046,0.0567176361873842,0.000158000344646437,0.00255900249768211,0.000282826047220984,0.00186802861903149,0.0239371979546174,0.00036,0.000460414495476021,28.249,0.26521,-0.0236351435417101,0.111182554133741,-3.88707000000001,-0.0637077640973764,-0.0947043358130456,0.030839209509836,-0.02416213955466,-0.00194958123889326,-0.0425748875278694,-0.00100971110197905,-0.0198779823605581,6.6483088394348e-05,0.0001252869676064,-0.000153044043467098,0.0012181958522068,0.0192062218664528,0,-0.00024914146610923,-1.1,0
IceOnly,113,ice,ice,ice,ice,1,0,28.249,28.249,0.26521,0.239855924,0.0848027601154355,0.753053356423255,8.7574913,0.138085190690556,0.0721114085104111,0.0644607377195534,0.0460144662906806,0.00418803222249662,0.0914581025292935,0.00288099797543046,0.0567176361873842,0.000163246508430077,0.0026439703264272,0.000286548949639278,0.00193005369948239,0.024731996606939,0.00036,0.000466475034296499,28.249,0.239855924,0.084968700700747,0.752008814877273,8.7574913,0.134150442043002,0.0693490017061492,0.0632992677337812,0.0454982745637237,0.00418803222249662,0.0914581025292935,0.00288099797543046,0.0567176361873842,0.000158000344646437,0.00255900249768211,0.000282826047220984,0.00186802861903149,0.0239371979546174,0.00036,0.000460414495476021,28.249,0.26521,-0.000165940585311497,0.00104454154598199,0,0.003934748647554,0.0027624068042619,0.0011614699857722,0.000516191726956904,0,0,0,0,5.24616378364001e-06,8.49678287450904e-05,3.72290241829401e-06,6.20250804508999e-05,0.000794798652321602,0,6.06053882047799e-06,0,-0.025354076
SalinityIce,113,ice,ice,ice,ice,1,0,28.249,27.149,0.26521,0.239855924,0.0613355458431813,0.866754119026755,4.87042129999999,0.07276043244315,-0.0246916608124675,0.0957926378922917,0.0204209069446645,0.00223845098360336,0.0488832150014241,0.00187128687345141,0.0368396538268261,0.000231937067772285,0.00277341725933931,0.000131490353251303,0.00318869791258061,0.0445759321809271,0.00036,0.000214054063432354,27.149,0.239855924,0.084968700700747,0.752008814877273,8.7574913,0.134150442043002,0.0693490017061492,0.0632992677337812,0.0454982745637237,0.00418803222249662,0.0914581025292935,0.00288099797543046,0.0567176361873842,0.000158000344646437,0.00255900249768211,0.000282826047220984,0.00186802861903149,0.0239371979546174,0.00036,0.000460414495476021,28.249,0.26521,-0.0236331548575657,0.114745304149482,-3.88707000000001,-0.061390009599852,-0.0940406625186167,0.0324933701585105,-0.0250773676190592,-0.00194958123889326,-0.0425748875278694,-0.00100971110197905,-0.0198779823605581,7.3936723125848e-05,0.0002144147616572,-0.000151335693969681,0.00132066929354912,0.0206387342263097,0,-0.000246360432043667,-1.1,-0.025354076
SalinityOnly,114,ice,ice,ice,ice,1,0,28.206,27.106,0.31435,0.31435,0.0594513036947359,0.8521485061484,4.71847219999999,0.0607262329992332,-0.0275607984777789,0.0866143462171848,0.0230635509014217,0.00216518024481851,0.0472831311472011,0.00182309467150198,0.0358909034977571,0.00021469508354958,0.00251119677417572,0.000121852949820312,0.00296157762309633,0.0416037700977502,0.00036,0.000198365267149344,27.106,0.31435,0.0836109328855078,0.745193473344301,8.6055422,0.119905563375796,0.0613162324641304,0.0570249706066056,0.042350890196041,0.00410910237503448,0.0897344352559051,0.00284959290341852,0.0560993707585286,0.000149050506389687,0.00240124944529614,0.000269762003192821,0.00177447035246307,0.0227453972064563,0.00036,0.000439147447058081,28.206,0.31435,-0.0241596291907719,0.106955032804099,-3.88707000000001,-0.0591793303765628,-0.0888770309419093,0.0295893756105792,-0.0192873392946193,-0.00194392213021597,-0.042451304108704,-0.00102649823191654,-0.0202084672607715,6.5644577159893e-05,0.00010994732887958,-0.000147909053372509,0.00118710727063326,0.0188583728912939,0,-0.000240782179908737,-1.1,0
IceOnly,114,ice,ice,ice,ice,1,0,28.206,28.206,0.31435,0.28429814,0.0834006753836423,0.74647774667448,8.6055422,0.124386807168959,0.064511845415242,0.0582970362442441,0.0429410308978237,0.00410910237503448,0.0897344352559051,0.00284959290341852,0.0560993707585286,0.000155319949556693,0.00250225210064929,0.00027441884434551,0.00184910908597545,0.0237021264289928,0.00036,0.000446728351260133,28.206,0.28429814,0.0836109328855078,0.745193473344301,8.6055422,0.119905563375796,0.0613162324641304,0.0570249706066056,0.042350890196041,0.00410910237503448,0.0897344352559051,0.00284959290341852,0.0560993707585286,0.000149050506389687,0.00240124944529614,0.000269762003192821,0.00177447035246307,0.0227453972064563,0.00036,0.000439147447058081,28.206,0.31435,-0.000210257501865499,0.001284273330179,0,0.004481243793163,0.00319561295111161,0.0012720656376385,0.000590140701782704,0,0,0,0,6.26944316700599e-06,0.00010100265535315,4.65684115268897e-06,7.46387335123801e-05,0.0009567292225365,0,7.58090420205197e-06,0,-0.03005186
SalinityIce,114,ice,ice,ice,ice,1,0,28.206,27.106,0.31435,0.28429814,0.0594527827719983,0.856778148921574,4.71847219999999,0.0632751685975239,-0.0268591864678661,0.0884617274146611,0.0220194373677286,0.00216518024481851,0.0472831311472011,0.00182309467150198,0.0358909034977571,0.000223725704492461,0.00261682409365428,0.000123956470051418,0.00308614910589382,0.0433537304197843,0.00036,0.000201789602409284,27.106,0.28429814,0.0836109328855078,0.745193473344301,8.6055422,0.119905563375796,0.0613162324641304,0.0570249706066056,0.042350890196041,0.00410910237503448,0.0897344352559051,0.00284959290341852,0.0560993707585286,0.000149050506389687,0.00240124944529614,0.000269762003192821,0.00177447035246307,0.0227453972064563,0.00036,0.000439147447058081,28.206,0.31435,-0.0241581501135095,0.111584675577273,-3.88707000000001,-0.0566303947782721,-0.0881754189319965,0.0314367568080555,-0.0203314528283124,-0.00194392213021597,-0.042451304108704,-0.00102649823191654,-0.0202084672607715,7.4675198102774e-05,0.00021557464835814,-0.000145805533141403,0.00131167875343075,0.020608333213328,0,-0.000237357844648797,-1.1,-0.03005186
SalinityOnly,115,ice,ice,ice,ice,1,0,28.198,27.098,0.43916,0.43916,0.0573543727629898,0.81019097293076,4.69020259999999,0.0375465892489863,-0.0268571847428776,0.0626613954956071,0.0263156335862573,0.00215157288661266,0.0469859741302951,0.00181405627928925,0.0357129664614896,0.000177091662482209,0.00206614831605921,0.000110528941232711,0.00244430502500159,0.0344268083815924,0.00036,0.000179930834564878,27.098,0.43916,0.0845498054723153,0.733787609708366,8.5772726,0.0836102948607243,0.0414515615798609,0.0406597999279486,0.0322738077238304,0.0040944421594003,0.0894142859749683,0.00284367769817091,0.0559829192850915,0.000122623075655098,0.00197683552041005,0.000245407551320258,0.00146173188366869,0.0187704942756933,0.00036,0.000399500664939954,28.198,0.43916,-0.0271954327093255,0.076403363222394,-3.88707000000001,-0.046063705611738,-0.0683087463227385,0.0220015955676585,-0.0059581741375731,-0.00194286927278764,-0.0424283118446732,-0.00102962141888166,-0.0202699528236019,5.4468586827111e-05,8.93127956491601e-05,-0.000134878610087547,0.0009825731413329,0.0156563141058991,0,-0.000219569830375076,-1.1,0
IceOnly,115,ice,ice,ice,ice,1,0,28.198,28.198,0.43916,0.397176304,0.0841952149358473,0.735931951940505,8.5772726,0.0890219196156686,0.0454827120758809,0.0420174629686818,0.0329190753751908,0.0040944421594003,0.0894142859749683,0.00284367769817091,0.0559829192850915,0.000131354017319855,0.00211758908997524,0.000253289266618209,0.00156580932372347,0.0201069808192268,0.00036,0.0004123313642622,28.198,0.397176304,0.0845498054723153,0.733787609708366,8.5772726,0.0836102948607243,0.0414515615798609,0.0406597999279486,0.0322738077238304,0.0040944421594003,0.0894142859749683,0.00284367769817091,0.0559829192850915,0.000122623075655098,0.00197683552041005,0.000245407551320258,0.00146173188366869,0.0187704942756933,0.00036,0.000399500664939954,28.198,0.43916,-0.000354590536467997,0.002144342232139,0,0.00541162475494431,0.00403115049602,0.0013576630407332,0.000645267651360401,0,0,0,0,8.730941664757e-06,0.00014075356956519,7.88171529795097e-06,0.00010407744005478,0.0013364865435335,0,1.2830699322246e-05,0,-0.041983696
SalinityIce,115,ice,ice,ice,ice,1,0,28.198,27.098,0.43916,0.397176304,0.0573858246761789,0.818348175269852,4.69020259999999,0.0403276072897133,-0.0260543598597563,0.0646408078364013,0.0251896382516534,0.00215157288661266,0.0469859741302951,0.00181405627928925,0.0357129664614896,0.000189700846897023,0.00221326108681524,0.000114078781660577,0.00261834310445888,0.0368780473027956,0.00036,0.000185709644563729,27.098,0.397176304,0.0845498054723153,0.733787609708366,8.5772726,0.0836102948607243,0.0414515615798609,0.0406597999279486,0.0322738077238304,0.0040944421594003,0.0894142859749683,0.00284367769817091,0.0559829192850915,0.000122623075655098,0.00197683552041005,0.000245407551320258,0.00146173188366869,0.0187704942756933,0.00036,0.000399500664939954,28.198,0.43916,-0.0271639807961364,0.0845605655614861,-3.88707000000001,-0.043282687571011,-0.0675059214396172,0.0239810079084527,-0.007084169472177,-0.00194286927278764,-0.0424283118446732,-0.00102962141888166,-0.0202699528236019,6.7077771241925e-05,0.00023642556640519,-0.000131328769659681,0.00115661122079019,0.0181075530271023,0,-0.000213791020376225,-1.1,-0.041983696
SalinityOnly,116,ice,ice,ice,ice,1,0,28.231,27.131,0.40019,0.40019,0.0601136154741087,0.83504762611403,4.8068147,0.0516161929340273,-0.0279033802026788,0.0778369447013877,0.0257906755557168,0.00220775259190374,0.0482128245874089,0.00185119324777779,0.0364440746003353,0.000185138654094623,0.00219949325655422,0.000117327894013841,0.00254898259808415,0.0357999507369106,0.00036,0.000190998897231834,27.131,0.40019,0.0854880305657243,0.743096248818666,8.6938847,0.104221601112228,0.0511917648125081,0.0515720555833592,0.0390948650569125,0.00415496490158324,0.0907359795212089,0.00286793152042834,0.0564603994772617,0.000129570363863259,0.00209945259416965,0.000257345413603279,0.00153635180512093,0.0197403006614028,0.00036,0.000418934394237896,28.231,0.40019,-0.0253744150916156,0.0919513772953641,-3.88707,-0.0526054081782007,-0.0790951450151869,0.0262648891180285,-0.0133041895011957,-0.0019472123096795,-0.0425231549338,-0.00101673827265055,-0.0200163248769264,5.5568290231364e-05,0.00010004066238457,-0.000140017519589438,0.00101263079296322,0.0160596500755078,0,-0.000227935497006062,-1.1,0
IceOnly,116,ice,ice,ice,ice,1,0,28.231,28.231,0.40019,0.361931836,0.0851323093022869,0.74462304823739,8.6938847,0.109823259164967,0.055222163226599,0.0531201584130725,0.0398602185137136,0.00415496490158324,0.0907359795212089,0.00286793152042834,0.0564603994772617,0.000137456131362139,0.00222722714491503,0.000264203161729018,0.0016298555413955,0.0209417129036197,0.00036,0.000430098170256541,28.231,0.361931836,0.0854880305657243,0.743096248818666,8.6938847,0.104221601112228,0.0511917648125081,0.0515720555833592,0.0390948650569125,0.00415496490158324,0.0907359795212089,0.00286793152042834,0.0564603994772617,0.000129570363863259,0.00209945259416965,0.000257345413603279,0.00153635180512093,0.0197403006614028,0.00036,0.000418934394237896,28.231,0.40019,-0.0003557212634374,0.00152679941872402,0,0.005601658052739,0.0040303984140909,0.0015481028297133,0.0007653534568011,0,0,0,0,7.88576749888e-06,0.00012777455074538,6.85774812573902e-06,9.35037362745699e-05,0.0012014122422169,0,1.1163776018645e-05,0,-0.038258164
SalinityIce,116,ice,ice,ice,ice,1,0,28.231,27.131,0.40019,0.361931836,0.0600807001256167,0.841393414771598,4.8068147,0.0547099163871613,-0.0270277841358181,0.0800537709295978,0.0246110183903205,0.00220775259190374,0.0482128245874089,0.00185119324777779,0.0364440746003353,0.000196406357122659,0.00233335637092231,0.00012045445117297,0.00270411594438235,0.0379787675555512,0.00036,0.00019608864144437,27.131,0.361931836,0.0854880305657243,0.743096248818666,8.6938847,0.104221601112228,0.0511917648125081,0.0515720555833592,0.0390948650569125,0.00415496490158324,0.0907359795212089,0.00286793152042834,0.0564603994772617,0.000129570363863259,0.00209945259416965,0.000257345413603279,0.00153635180512093,0.0197403006614028,0.00036,0.000418934394237896,28.231,0.40019,-0.0254073304401076,0.098297165952932,-3.88707,-0.0495116847250667,-0.0782195489483262,0.0284817153462386,-0.014483846666592,-0.0019472123096795,-0.0425231549338,-0.00101673827265055,-0.0200163248769264,6.68359932594e-05,0.00023390377675266,-0.000136890962430309,0.00116776413926142,0.0182384668941484,0,-0.000222845752793526,-1.1,-0.038258164
