RowID,Regime0,RegimeNew,IceMultiplier,SalinityAnomaly,Temperature,Salinity0,Salinity,SeaIce0,SeaIce,WindSpeed,Hg0_water,DGM_obs,HgII_water,Hg0_air,GEM_obs,MLD,Dw,P_sink,AS,Net,Diff_Hg0,Current_Hg0,fr_Hg0,Diff_HgII,Current_HgII,fr_HgII,Red_UVB,Red_UVA,Red_Bio,Ox_UVB,Ox_UVA,Ox_Dark,Ox_Bio,a_443
123,open,open,0.9,-1,-0.357,28.287,27.287,0.14071,0.126639,5.38,0.0589564902125549,0.069,0.799858536262744,1.08707557068563,1.002,5.34215236332133,2.77309270616209e-05,0.15667627766253,0.0402439856669835,0.00164731774322835,0.0366515938151288,0.00246773932856887,0.00201551158277701,0.0169131011858197,0.0538904059322825,0.0396789770969294,0.000254398922030905,0.0032165510855014,0.000156237242825648,0.00345321627005421,0.0471256768883849,0.00036,0.000254339697623147,0.139314678938446
124,open,open,0.9,-1,-0.347,28.308,27.308,0.04883,0.043947,5.398,0.0601548276151215,0.078,0.813292592282704,1.09031654598347,1.018,5.36398863666264,2.95550509958115e-05,0.159307740347109,0.0464957380073577,0.00572962722483239,0.0388666915270182,0.00247973324557238,0.00201809337620883,0.0160613553080259,0.0541523286761291,0.039729804352563,0.00027739895917124,0.003530941983333,0.000162542590256546,0.00375720774274244,0.0510395975575189,0.00036,0.000264604216696703,0.139130319710612
1,ice,ice,0.9,-1.5,-0.405,28.054,26.554,0.432,0.3888,3.92,0.0319598673219152,0.061,0.674527293792812,1.06420858403666,1.148,2.7678698,1.46960753029415e-05,0.132126395833728,-0.00217521419687686,-0.0253480793784797,0.021617230033457,0.00124423619062863,0.00114615836067679,0.0180753812182404,0.0271715868091706,0.0225641925014827,0.000401956649524018,0.00285907884640432,6.39498772359526e-05,0.00561288204076181,0.0729108695767816,0.00036,0.000104104451314341,0.145716862149377
2,ice,ice,0.9,-1.5,-0.386,28.408,26.908,0.218,0.1962,4.21,0.0437856676991202,0.071,0.756047137662199,1.06944150671953,1.139,4.01879960000001,1.54677157198464e-05,0.148094501584981,0.00822985480194002,-0.0154305100808271,0.0217409107469064,0.00183064861197685,0.00159271865209891,0.0127863338778711,0.0399776409431442,0.0313555364595873,0.000399644973584637,0.00370065549743194,0.000110461893161738,0.00557243170591855,0.070786152745254,0.00036,0.000179821686542364,0.142633133447717
3,open,open,0.9,-1.5,-0.458,28.775,27.275,0.1244,0.11196,5.671,0.0592252341582604,0.066,0.815694877096702,1.08991232831714,1.05,5.49384219506431,3.18146883915172e-05,0.159778299859171,0.0454123952752565,0.00140671487835142,0.0420017727980775,0.00253669446418894,0.00207605246204877,0.016911220819412,0.0553962457941596,0.0408708333891876,0.000347620115661603,0.0039496788695537,0.000167047400651851,0.00472436319428006,0.0583181707732761,0.00036,0.000271937628968129,0.139420004653742
4,open,open,0.9,-1.5,-0.394,28.596,27.096,0.0918,0.08262,8.036,0.0599042387386767,0.061,0.895548967982149,1.11683003426031,1.023,6.52889524637908,7.43997317887817e-05,0.175420117941797,0.093876361410337,-0.00654101171981836,0.0979432595879505,0.00299482952124166,0.00252587360022865,0.0101552051051886,0.0654009832923859,0.049726372991179,0.000298817368384973,0.00334413040249095,0.000190631667284431,0.0041250236448633,0.0558008691284871,0.00036,0.000310330621160702,0.140989151165877
11,open,open,0.9,-1.5,-0.062,28.28,26.78,0,0,10.695,0.0570844574664618,0.101,0.971979097469456,1.15073194782767,1.21,7.39583422666455,0.000151701867026647,0.190391250518924,0.155155343125396,-0.0500200468032468,0.202072523290666,0.00335293367070083,0.00297863422648746,-0.0366548555853414,0.073221249297378,0.0586397817124339,0.000219604752145636,0.00242555767496448,0.000199080495317043,0.0030717891282982,0.0511485767977481,0.00036,0.000324084527260303,0.143749980336325
12,open,open,0.9,-1.5,-0.404,28.753,27.253,0,0,9.735,0.0665729787337444,0.113,0.90087133364497,1.1662530960255,1.18,7.37644086235578,0.000127909802672981,0.176462662845182,0.183011361587452,0.0168992981026337,0.163670124990574,0.00340320728705236,0.00279561173024553,0.0140910650966244,0.0743191227889186,0.0550366541002372,0.000228313132931215,0.00300152608819256,0.000220947003533209,0.00310969393195888,0.0449605764390395,0.00036,0.000359681168542433,0.139613059308706
13,open,open,0.9,-1.5,-0.428,28.732,27.232,0,0,9.983,0.0664646538335286,0.123,0.906281253049808,1.17036796255902,1.179,7.46297992167614,0.000135681514528692,0.177522357774193,0.190396369234146,0.0142123364565838,0.173695873927534,0.00344047996288816,0.0028362795634286,0.0113158131902748,0.0751330821920532,0.0558372736725789,0.00022610761007739,0.00295655705469897,0.000222344181529304,0.0030858779425136,0.0449068419410916,0.00036,0.00036195564435003,0.139797287274809
14,open,open,0.9,-1.5,-0.414,28.71,27.21,0.0058,0.00522,10.676,0.0669619634517948,0.115,0.914604086270248,1.1851607360148,1.17,7.72515431407683,0.000158953916995332,0.179152634216172,0.216917695619625,0.0112956821213568,0.203051517312406,0.00355846686748905,0.0029444526748678,0.00671176909549792,0.0777096761256284,0.0579668562797826,0.000212445067538585,0.00279797760799297,0.00022753392052536,0.00290534819301321,0.0431291562283092,0.00036,0.000370404056669191,0.139990233844819
